,word,count,tf,filename,document_count,idf,tf-idf
0,we,159,0.032864820173625464,2017_Kramp.csv,5,0.0,0.0
1,kramp,139,0.028730880529144274,2017_Kramp.csv,1,1.6094379124341003,0.046240568381219496
2,onze,80,0.016535758577924758,2017_Kramp.csv,5,0.0,0.0
3,nieuwe,36,0.007441091360066144,2017_Kramp.csv,5,0.0,0.0
4,moeten,30,0.006200909466721786,2017_Kramp.csv,5,0.0,0.0
5,klanten,30,0.006200909466721786,2017_Kramp.csv,5,0.0,0.0
6,groep,29,0.005994212484497725,2017_Kramp.csv,5,0.0,0.0
7,data,25,0.005167424555601488,2017_Kramp.csv,5,0.0,0.0
8,john,25,0.005167424555601488,2017_Kramp.csv,1,1.6094379124341003,0.008316648989427968
9,digitale,24,0.004960727573377429,2017_Kramp.csv,5,0.0,0.0
10,jaar,24,0.004960727573377429,2017_Kramp.csv,5,0.0,0.0
11,blijven,23,0.00475403059115337,2017_Kramp.csv,5,0.0,0.0
12,jaarverslag,23,0.00475403059115337,2017_Kramp.csv,5,0.0,0.0
13,maken,23,0.00475403059115337,2017_Kramp.csv,5,0.0,0.0
14,klant,21,0.00434063662670525,2017_Kramp.csv,5,0.0,0.0
15,medewerkers,20,0.0041339396444811894,2017_Kramp.csv,5,0.0,0.0
16,binnen,20,0.0041339396444811894,2017_Kramp.csv,5,0.0,0.0
17,alleen,19,0.003927242662257131,2017_Kramp.csv,5,0.0,0.0
18,s,19,0.003927242662257131,2017_Kramp.csv,5,0.0,0.0
19,willen,19,0.003927242662257131,2017_Kramp.csv,5,0.0,0.0
20,waar,18,0.003720545680033072,2017_Kramp.csv,5,0.0,0.0
21,n,18,0.003720545680033072,2017_Kramp.csv,5,0.0,0.0
22,webshop,18,0.003720545680033072,2017_Kramp.csv,1,1.6094379124341003,0.005987987272388137
23,mensen,17,0.003513848697809012,2017_Kramp.csv,5,0.0,0.0
24,toekomst,17,0.003513848697809012,2017_Kramp.csv,5,0.0,0.0
25,transformatie,17,0.003513848697809012,2017_Kramp.csv,2,0.9162907318741551,0.0032197069950104665
26,deere,17,0.003513848697809012,2017_Kramp.csv,1,1.6094379124341003,0.005655321312811018
27,beter,17,0.003513848697809012,2017_Kramp.csv,5,0.0,0.0
28,zetten,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
29,omzet,16,0.0033071517155849523,2017_Kramp.csv,4,0.22314355131420976,0.0007379695785505076
30,goed,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
31,zien,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
32,werken,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
33,gaat,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
34,wij,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
35,kennis,16,0.0033071517155849523,2017_Kramp.csv,5,0.0,0.0
36,perdok,15,0.003100454733360893,2017_Kramp.csv,1,1.6094379124341003,0.004989989393656781
37,alle,14,0.0028937577511368336,2017_Kramp.csv,5,0.0,0.0
38,verder,14,0.0028937577511368336,2017_Kramp.csv,5,0.0,0.0
39,activa,14,0.0028937577511368336,2017_Kramp.csv,5,0.0,0.0
40,scholten,14,0.0028937577511368336,2017_Kramp.csv,1,1.6094379124341003,0.0046573234340796625
41,huidige,13,0.002687060768912774,2017_Kramp.csv,5,0.0,0.0
42,euro,13,0.002687060768912774,2017_Kramp.csv,5,0.0,0.0
43,online,13,0.002687060768912774,2017_Kramp.csv,5,0.0,0.0
44,eddie,13,0.002687060768912774,2017_Kramp.csv,1,1.6094379124341003,0.004324657474502543
45,organisatie,13,0.002687060768912774,2017_Kramp.csv,5,0.0,0.0
46,gaan,13,0.002687060768912774,2017_Kramp.csv,5,0.0,0.0
47,hub,13,0.002687060768912774,2017_Kramp.csv,1,1.6094379124341003,0.004324657474502543
48,miljoen,12,0.0024803637866887144,2017_Kramp.csv,5,0.0,0.0
49,hans,12,0.0024803637866887144,2017_Kramp.csv,2,0.9162907318741551,0.0022727343494191527
50,overige,12,0.0024803637866887144,2017_Kramp.csv,5,0.0,0.0
51,waarde,12,0.0024803637866887144,2017_Kramp.csv,5,0.0,0.0
52,manier,12,0.0024803637866887144,2017_Kramp.csv,5,0.0,0.0
53,ceo,12,0.0024803637866887144,2017_Kramp.csv,4,0.22314355131420976,0.0005534771839128808
54,onderneming,12,0.0024803637866887144,2017_Kramp.csv,4,0.22314355131420976,0.0005534771839128808
55,actief,12,0.0024803637866887144,2017_Kramp.csv,5,0.0,0.0
56,gebruik,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
57,digital,11,0.002273666804464655,2017_Kramp.csv,4,0.22314355131420976,0.0005073540852534741
58,daarom,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
59,it,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
60,processen,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
61,raad,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
62,dealers,11,0.002273666804464655,2017_Kramp.csv,1,1.6094379124341003,0.003659325555348306
63,commissarissen,11,0.002273666804464655,2017_Kramp.csv,4,0.22314355131420976,0.0005073540852534741
64,klerkx,11,0.002273666804464655,2017_Kramp.csv,1,1.6094379124341003,0.003659325555348306
65,waarin,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
66,mogelijk,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
67,investeren,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
68,blijleven,11,0.002273666804464655,2017_Kramp.csv,1,1.6094379124341003,0.003659325555348306
69,bieden,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
70,onderdelen,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
71,investeringen,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
72,service,11,0.002273666804464655,2017_Kramp.csv,5,0.0,0.0
73,dijk,10,0.0020669698222405947,2017_Kramp.csv,1,1.6094379124341003,0.003326659595771186
74,jaren,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
75,volledig,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
76,bedrijf,10,0.0020669698222405947,2017_Kramp.csv,4,0.22314355131420976,0.00046123098659406716
77,interview,10,0.0020669698222405947,2017_Kramp.csv,2,0.9162907318741551,0.0018939452911826268
78,partnerschap,10,0.0020669698222405947,2017_Kramp.csv,4,0.22314355131420976,0.00046123098659406716
79,systeem,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
80,boer,10,0.0020669698222405947,2017_Kramp.csv,2,0.9162907318741551,0.0018939452911826268
81,bedrijven,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
82,vaste,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
83,grote,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
84,bv,10,0.0020669698222405947,2017_Kramp.csv,5,0.0,0.0
85,x,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
86,verschillende,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
87,mutatie,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
88,rol,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
89,arnoud,9,0.001860272840016536,2017_Kramp.csv,1,1.6094379124341003,0.0029939936361940687
90,jaarrekening,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
91,tijd,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
92,nemen,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
93,duurzaam,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
94,steeds,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
95,sector,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
96,resultaat,9,0.001860272840016536,2017_Kramp.csv,5,0.0,0.0
97,duitsland,9,0.001860272840016536,2017_Kramp.csv,2,0.9162907318741551,0.0017045507620643647
98,ondernemen,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
99,dealer,8,0.0016535758577924762,2017_Kramp.csv,1,1.6094379124341003,0.0026613276766169493
100,nederland,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
101,staat,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
102,ruim,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
103,officer,8,0.0016535758577924762,2017_Kramp.csv,4,0.22314355131420976,0.0003689847892752538
104,nodig,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
105,ontwikkeling,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
106,cfo,8,0.0016535758577924762,2017_Kramp.csv,3,0.5108256237659907,0.0008446889190012249
107,director,8,0.0016535758577924762,2017_Kramp.csv,3,0.5108256237659907,0.0008446889190012249
108,chief,8,0.0016535758577924762,2017_Kramp.csv,4,0.22314355131420976,0.0003689847892752538
109,landen,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
110,ebusiness,8,0.0016535758577924762,2017_Kramp.csv,1,1.6094379124341003,0.0026613276766169493
111,groei,8,0.0016535758577924762,2017_Kramp.csv,5,0.0,0.0
112,datadriven,7,0.0014468788755684168,2017_Kramp.csv,1,1.6094379124341003,0.0023286617170398313
113,omgeving,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
114,voorop,7,0.0014468788755684168,2017_Kramp.csv,4,0.22314355131420976,0.00032286169061584714
115,schulden,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
116,collega,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
117,biedt,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
118,kansen,7,0.0014468788755684168,2017_Kramp.csv,4,0.22314355131420976,0.00032286169061584714
119,zit,7,0.0014468788755684168,2017_Kramp.csv,4,0.22314355131420976,0.00032286169061584714
120,daarin,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
121,maakt,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
122,logistieke,7,0.0014468788755684168,2017_Kramp.csv,4,0.22314355131420976,0.00032286169061584714
123,nieuw,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
124,spelen,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
125,systemen,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
126,belastingen,7,0.0014468788755684168,2017_Kramp.csv,4,0.22314355131420976,0.00032286169061584714
127,cdo,7,0.0014468788755684168,2017_Kramp.csv,1,1.6094379124341003,0.0023286617170398313
128,varsseveld,7,0.0014468788755684168,2017_Kramp.csv,1,1.6094379124341003,0.0023286617170398313
129,daarnaast,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
130,ontwikkelingen,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
131,markt,7,0.0014468788755684168,2017_Kramp.csv,5,0.0,0.0
